cantidad,tamano_num,monto_total,categoria,tamano_proveedor,region_comprador
2,2,23194.0,Productos lácteos y huevos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,7732.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,1680.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,2,5380.0,Alimentos preparados y conservados,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,16756.0,Productos lácteos y huevos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,2152.0,Alimentos preparados y conservados,Pequeña,Region Aysen del General Carlos IbaNez del Campo
40,3,48000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
5,3,25000.0,Condimentos y preservantes,Mediana,Region de Atacama
1,2,5462.0,Productos de carne y aves de corral,Pequeña,Region Aysen del General Carlos IbaNez del Campo
1,2,7059.0,Productos lácteos y huevos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
8,2,14792.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
1,2,9163.0,Productos lácteos y huevos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
10,3,12540.0,Condimentos y preservantes,Mediana,Region Aysen del General Carlos IbaNez del Campo
3,3,3585.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
3,2,1713.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,7396.0,Pescados y mariscos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,2,25305.0,Bebidas,Pequeña,Region Aysen del General Carlos IbaNez del Campo
200,2,252000.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
20,2,25200.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
20,2,38640.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
2,3,5124.0,Productos lácteos y huevos,Mediana,Region Aysen del General Carlos IbaNez del Campo
1,3,2459089.0,"Frutas, verduras y frutos secos",Mediana,Region de Coquimbo
10,1,119000.0,Productos de carne y aves de corral,Micro,Region de los Lagos
20,1,50000.0,Productos de carne y aves de corral,Micro,Region de los Lagos
80,1,32000.0,Productos lácteos y huevos,Micro,Region de los Lagos
20,2,106820.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
5,2,46525.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
20,2,35300.0,Condimentos y preservantes,Pequeña,Region de los Lagos
20,2,30680.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
10,3,396000.0,Productos lácteos y huevos,Mediana,Region de Atacama
75,3,67500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
20,2,105380.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
8,2,27240.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
8,2,54672.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
4,2,8272.0,Productos lácteos y huevos,Pequeña,Region de los Lagos
6,2,29268.0,"Chocolates, azúcares, edulcorantes y productos de confitería",Pequeña,Region de los Lagos
1,2,7639.0,Condimentos y preservantes,Pequeña,Region de los Lagos
2,2,43764.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
2,2,8228.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
150,2,163800.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
8,2,27328.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
100,3,150000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
25,2,42250.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,1848.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
1,2,15756.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
30,2,41700.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
25,2,47250.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,3,25000.0,Condimentos y preservantes,Mediana,Region de Atacama
80,2,94080.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
200,2,252000.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
12,2,19080.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
50,2,218500.0,Bebidas,Pequeña,Region del Maule
93,2,156240.0,Bebidas,Pequeña,Region de Atacama
25,2,42250.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
210,3,199500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
200,2,857200.0,Alimentos preparados y conservados,Pequeña,Region del Maule
100,2,260500.0,Alimentos preparados y conservados,Pequeña,Region del Maule
80,2,127200.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
10,2,16150.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
50,2,92000.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
50,2,88750.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,7328.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,21640.0,Productos de carne y aves de corral,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,9596.0,Productos lácteos y huevos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
30,3,22500.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
1,2,21882.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
1,2,1798.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
10,2,172760.0,Pescados y mariscos,Pequeña,Region de los Lagos
24,2,42360.0,Condimentos y preservantes,Pequeña,Region de los Lagos
1,2,948.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
31,2,240994.0,Productos de carne y aves de corral,Pequeña,Region de Coquimbo
4,2,4088.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
60,2,136140.0,Alimentos preparados y conservados,Pequeña,Region del Maule
50,2,31200.0,"Frutas, verduras y frutos secos",Pequeña,Region de Atacama
2,3,9908.0,Productos de carne y aves de corral,Mediana,Region Aysen del General Carlos IbaNez del Campo
1,3,7088.0,Productos de carne y aves de corral,Mediana,Region Aysen del General Carlos IbaNez del Campo
4,2,8864.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
6,2,10590.0,Condimentos y preservantes,Pequeña,Region de los Lagos
6,2,4032.0,Alimentos preparados y conservados,Pequeña,Region Aysen del General Carlos IbaNez del Campo
6,2,9948.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,2,9600.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,9424.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
32,2,32704.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
20,2,30660.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
1,3,6364.0,Alimentos preparados y conservados,Mediana,Region Aysen del General Carlos IbaNez del Campo
10,2,18490.0,Pescados y mariscos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
12,2,19080.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,7060.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
50,2,64500.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
12,2,24300.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
25,2,42250.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
20,2,104540.0,Bebidas,Pequeña,Region de los Lagos
10,2,12300.0,Condimentos y preservantes,Pequeña,Region de los Lagos
15,2,23955.0,Productos lácteos y huevos,Pequeña,Region de los Lagos
12,2,191880.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
2,2,1588.0,Condimentos y preservantes,Pequeña,Region de los Lagos
20,2,23520.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
20,2,20440.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
50,2,25550.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
12,2,18396.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
5,2,2855.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,3,4100.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
2,3,3076.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
8,2,36304.0,Productos de carne y aves de corral,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,7396.0,Pescados y mariscos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
40,2,63600.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
14,2,17220.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
6,2,12150.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
6,2,95940.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
5,2,6150.0,Condimentos y preservantes,Pequeña,Region de los Lagos
2,2,3210.0,Condimentos y preservantes,Pequeña,Region de los Lagos
20,2,11420.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
15,2,28350.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
3,2,26166.0,Productos de carne y aves de corral,Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,2,29885.0,Bebidas,Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,2,11780.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,10250.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
6,2,4380.0,Bebidas,Pequeña,Region de los Lagos
10,2,5230.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
1,2,7853.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
30,3,40710.0,Cereales y Legumbres,Mediana,Region Aysen del General Carlos IbaNez del Campo
5,2,19635.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
25,3,47625.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
20,2,103800.0,Productos de carne y aves de corral,Pequeña,Region Aysen del General Carlos IbaNez del Campo
22,2,55000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
81,2,141750.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
240,2,207120.0,Condimentos y preservantes,Pequeña,Region de Coquimbo
30,3,46710.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
6,2,12150.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
14,2,17220.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
3,2,3177.0,Condimentos y preservantes,Pequeña,Region de los Lagos
3,2,2772.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
4,2,1984.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
20,2,31920.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
36,3,36000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
75,3,90000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
8,2,54832.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
40,2,10880.0,"Chocolates, azúcares, edulcorantes y productos de confitería",Pequeña,Region de los Lagos
3,2,5430.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
1,2,4323.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
4,2,49512.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
3,2,12057.0,Condimentos y preservantes,Pequeña,Region de los Lagos
2,2,2500.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
1,2,8071.0,"Chocolates, azúcares, edulcorantes y productos de confitería",Pequeña,Region Aysen del General Carlos IbaNez del Campo
23,1,32844.0,"Frutas, verduras y frutos secos",Micro,Region del Biobio
28,1,39984.0,"Frutas, verduras y frutos secos",Micro,Region del Biobio
50,3,33600.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
60,3,72000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
59,4,106318.0,Aceites y grasas comestibles,Grande,Region Aysen del General Carlos IbaNez del Campo
6,2,41124.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
200,2,252000.0,"Frutas, verduras y frutos secos",Pequeña,Region de Antofagasta
64,2,128000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
60,2,75000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
34,2,85000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
2,2,13000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
50,1,145000.0,Condimentos y preservantes,Micro,Region del Nuble
45,4,73980.0,Aceites y grasas comestibles,Grande,Region de Magallanes y de la Antartica
4,2,7756.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
2,2,16470.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
6,2,24300.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
2,2,18610.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
209,1,368885.0,Productos de panadería,Micro,Region del Biobio
460,1,774066.88,Productos de panadería,Micro,Region de Los Rios
4,2,19600.0,Productos de carne y aves de corral,Pequeña,Region de la Araucania
66,2,112200.0,Productos de carne y aves de corral,Pequeña,Region de la Araucania
2,2,8900.0,Productos lácteos y huevos,Pequeña,Region de la Araucania
3,2,12900.0,Productos lácteos y huevos,Pequeña,Region de la Araucania
4,2,16000.0,Cereales y Legumbres,Pequeña,Region de la Araucania
1,2,906.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
2,2,4460.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
40,2,79200.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
20,2,40000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
60,2,75000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
55,2,110000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
2,2,4200.0,"Frutas, verduras y frutos secos",Pequeña,Region de la Araucania
30,2,71700.0,"Frutas, verduras y frutos secos",Pequeña,Region de la Araucania
12,2,58800.0,Productos de carne y aves de corral,Pequeña,Region de la Araucania
12,2,32280.0,Pescados y mariscos,Pequeña,Region de la Araucania
6,2,23940.0,Pescados y mariscos,Pequeña,Region de la Araucania
2,2,13980.0,Alimentos preparados y conservados,Pequeña,Region de la Araucania
30,2,52500.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
4,2,4236.0,Condimentos y preservantes,Pequeña,Region de los Lagos
8,2,16480.0,Condimentos y preservantes,Pequeña,Region de los Lagos
12,2,23268.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
2,2,14200.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
9,2,155484.0,Pescados y mariscos,Pequeña,Region de los Lagos
1,2,6281.0,Productos lácteos y huevos,Pequeña,Region de los Lagos
2,2,8866.0,Productos lácteos y huevos,Pequeña,Region de los Lagos
1,2,2165.0,"Chocolates, azúcares, edulcorantes y productos de confitería",Pequeña,Region de los Lagos
20,2,10600.0,Condimentos y preservantes,Pequeña,Region de los Lagos
1,2,5844.0,Bebidas,Pequeña,Region de los Lagos
2,2,16470.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
1,2,6870.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
1,2,2438.0,Condimentos y preservantes,Pequeña,Region de los Lagos
1,2,5342.0,Bebidas,Pequeña,Region de los Lagos
40,1,40320.0,"Frutas, verduras y frutos secos",Micro,Region del Biobio
204,1,360060.0,Productos de panadería,Micro,Region del Biobio
15,2,4605.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
25,2,7675.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
20,2,14300.0,"Frutas, verduras y frutos secos",Pequeña,Region de Valparaiso
40,2,63600.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
15,2,28350.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
12,2,26592.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
6,2,29994.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
8,2,21088.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
1,2,16700.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
13,2,52650.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
12,2,64092.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
24,2,60000.0,Condimentos y preservantes,Pequeña,Region de los Lagos
6,2,90000.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
4,2,54444.0,Pescados y mariscos,Pequeña,Region de los Lagos
4,2,5100.0,Condimentos y preservantes,Pequeña,Region de los Lagos
4,2,8920.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
1,2,1798.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
8,2,84008.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
3,2,1617.0,Condimentos y preservantes,Pequeña,Region de los Lagos
6,2,10590.0,Condimentos y preservantes,Pequeña,Region de los Lagos
10,2,11540.0,Productos de panadería,Pequeña,Region de los Lagos
20,2,30680.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
2,2,2150.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
1,2,2530540.0,Bebidas,Pequeña,Region de Arica y Parinacota
25,2,34750.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
5,2,26345.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
30,2,214290.0,"Chocolates, azúcares, edulcorantes y productos de confitería",Pequeña,Region del Maule
60,2,46320.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
160,4,2319200.0,Cereales y Legumbres,Grande,Region del Maule
60,2,78000.0,"Frutas, verduras y frutos secos",Pequeña,Region del Biobio
1,2,10220.0,Condimentos y preservantes,Pequeña,Region de Valparaiso
6,2,9240.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
3,2,7605.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
10,2,7000.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
3,2,13650.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
3,2,6930.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
3,2,5295.0,Condimentos y preservantes,Pequeña,Region de los Lagos
1,2,3580.0,Productos de panadería,Pequeña,Region de los Lagos
65,2,131040.0,Productos de panadería,Pequeña,Region de los Lagos
2,2,6554.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
2,2,6554.0,Alimentos preparados y conservados,Pequeña,Region de los Lagos
10,2,19950.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
4,2,69104.0,Pescados y mariscos,Pequeña,Region de los Lagos
450,3,315000.0,"Frutas, verduras y frutos secos",Mediana,Region de Atacama
20,2,29800.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
12,2,19080.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,7060.0,"Frutas, verduras y frutos secos",Pequeña,Region Aysen del General Carlos IbaNez del Campo
12,2,84000.0,Productos lácteos y huevos,Pequeña,Region de la Araucania
6,2,17940.0,"Chocolates, azúcares, edulcorantes y productos de confitería",Pequeña,Region de la Araucania
2,2,13980.0,Alimentos preparados y conservados,Pequeña,Region de la Araucania
20,1,50000.0,Productos de carne y aves de corral,Micro,Region de los Lagos
6,2,3426.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,3278.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
55,1,88000.0,Productos de carne y aves de corral,Micro,Region de los Lagos
1,3,1195.0,"Frutas, verduras y frutos secos",Mediana,Region Aysen del General Carlos IbaNez del Campo
1,3,9093.0,Productos lácteos y huevos,Mediana,Region Aysen del General Carlos IbaNez del Campo
11,2,18029.0,Cereales y Legumbres,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,7732.0,Pescados y mariscos,Pequeña,Region Aysen del General Carlos IbaNez del Campo
3,2,2772.0,Condimentos y preservantes,Pequeña,Region Aysen del General Carlos IbaNez del Campo
2,2,3362.0,Alimentos preparados y conservados,Pequeña,Region Aysen del General Carlos IbaNez del Campo
4,2,9984.0,"Frutas, verduras y frutos secos",Pequeña,Region de los Lagos
2,2,6892.0,Productos lácteos y huevos,Pequeña,Region de los Lagos
10,2,93050.0,Productos de carne y aves de corral,Pequeña,Region de los Lagos
